Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff;semantic_distance_corr_noP
27;corr;4679;3.847;1;0.741;情有独钟;qing2 you3 du2 zhong1;qíng yǒu dú zhōng;Attraction;love have only concentrate;钟;9;;
27;diffT;4679;;1;;情有独重;qing2 you3 du2 zhong4;;;love have only heavy;重;9;0.0;
27;sameT;4679;;1;;情有独衷;qing2 you3 du2 zhong1;;;love have only innerfeelings;衷;10;-1.0;
27;noP;4679;;1;;情有独珏;qing2 you3 du2 yue2;;;love have only jade;珏;9;0.0;0.6338075995445251
28;corr;466;4.268;1;0.815;惊天动地;jing1 tian1 dong4 di4;jīng tiān dòng dì;Huge impact;shock sky move ground;地;6;;
28;diffT;466;;1;;惊天动邸;jing1 tian1 dong4 di3;;;shock sky move residence;邸;7;-1.0;
28;sameT;466;;1;;惊天动弟;jing1 tian1 dong4 di4;;;shock sky move littlebrother;弟;7;-1.0;
28;noP;466;;1;;惊天动守;jing1 tian1 dong4 shou3;;;shock sky move type;守;6;0.0;0.709667831659317
29;corr;4731;3.915;1;0.815;我行我素;wo3 xing2 wo3 su4;wǒ xíng wǒ sù;Not care about people's opinions;me walk me essence;素;10;;
29;diffT;4731;;1;;我行我俗;wo3 xing2 wo3 su2;;;me walk me popular;俗;9;1.0;
29;sameT;4731;;1;;我行我速;wo3 xing2 wo3 su4;;;me walk me fast;速;10;0.0;
29;noP;4731;;1;;我行我涌;wo3 xing2 wo3 yong3;;;me walk me emerge;涌;10;0.0;0.7758431881666183
30;corr;4443;2.805;1;0.852;扑朔迷离;pu1 shuo4 mi2 li2;pū shuò mí lí;not able to tell with certainty;jump male uncertain distinguish;离;10;;
30;diffT;4443;;1;;扑朔迷莉;pu1 shuo4 mi2 li4;;;jump male uncertain jasmine;莉;10;0.0;
30;sameT;4443;;1;;扑朔迷梨;pu1 shuo4 mi2 li2;;;jump male uncertain pear;梨;11;-1.0;
30;noP;4443;;1;;扑朔迷素;pu1 shuo4 mi2 su4;;;jump male uncertain essence;素;10;0.0;0.8142766207456589
31;corr;4759;4.05;909;0.667;日新月异;ri4 xin1 yue4 yi4;rì xīn yuè yì;change day after day;sun new moon different;异;6;;
31;diffT;4759;;909;;日新月仪;ri4 xin1 yue4 yi2;;;sun new moon ceremony;仪;5;1.0;
31;sameT;4759;;909;;日新月亦;ri4 xin1 yue4 yi4;;;sun new moon also;亦;6;0.0;
31;noP;4759;;909;;日新月吉;ri4 xin1 yue4 ji2;;;sun new moon lucky;吉;6;0.0;0.608966201543808
32;corr;4543;3.235;538;0.889;有的放矢;you3 de5 fang4 shi3;yǒu de fàng shǐ;to have a precise goal;have target throw arrow;矢;5;;
32;diffT;4543;;538;;有的放石;you3 de5 fang4 shi2;;;have target throw rock;石;5;0.0;
32;sameT;4543;;538;;有的放史;you3 de5 fang4 shi3;;;have target throw history;史;5;0.0;
32;noP;4543;;538;;有的放叶;you3 de5 fang4 ye4;;;have target throw leaf;叶;5;0.0;0.6644134819507599
33;corr;4256;3.898;75;0.963;标本兼治;biao1 ben3 jian1 zhi4;biāo běn jiān zhì;deal with multiple problems;surface root together treat;治;8;;
33;diffT;4256;;75;;标本兼直;biao1 ben3 jian1 zhi2;;;surface root together straighten;直;8;0.0;
33;sameT;4256;;75;;标本兼质;biao1 ben3 jian1 zhi4;;;surface root together question;质;8;0.0;
33;noP;4256;;75;;标本兼沽;biao1 ben3 jian1 gu1;;;surface root together buy;沽;8;0.0;0.7295309603214264
34;corr;4719;4.474;867;0.889;根深蒂固;gen1 shen1 di4 gu4;gēn shēn dì gù;deeply rooted thing;root deep sprout strong;固;8;;
34;diffT;4719;;867;;根深蒂沽;gen1 shen1 di4 gu1;;;root deep sprout buy;沽;8;0.0;
34;sameT;4719;;867;;根深蒂故;gen1 shen1 di4 gu4;;;root deep sprout old;故;9;-1.0;
34;noP;4719;;867;;根深蒂直;gen1 shen1 di4 zhi2;;;root deep sprout straighten;直;8;0.0;0.6687738597393036
35;corr;493;4.439;1;0.704;欢天喜地;huan1 tian1 xi3 di4;huān tiān xǐ dì;extremely happy;happy sky joyful earth;地;6;;
35;diffT;493;;1;;欢天喜籴;huan1 tian1 xi3 di3;;;happy sky joyful buy grain;籴;8;-2.0;
35;sameT;493;;1;;欢天喜弟;huan1 tian1 xi3 di4;;;happy sky joyful brother;弟;9;-3.0;
35;noP;493;;1;;欢天喜爷;huan1 tian1 xi3 he2;;;happy sky joyful grandpa;爷;6;0.0;0.6966394782066345
36;corr;463;4.686;769;0.519;求真务实;qiu2 zhen1 wu4 shi2;qiú zhēn wù shí;do things seriously;search truth concentrate truth;实;8;;
36;diffT;463;;769;;求真务式;qiu2 zhen1 wu4 shi4;;;search truth concentrate type;式;6;2.0;
36;sameT;463;;769;;求真务时;qiu2 zhen1 wu4 shi2;;;search truth concentrate hour;时;7;1.0;
36;noP;463;;769;;求真务雨;qiu2 zhen1 wu4 yu4;;;search truth concentrate rain;雨;8;0.0;0.7291178405284882
37;corr;4663;3.686;1;0.741;游刃有余;you2 ren4 you3 yu2;yóu rèn yǒu yú;sort it out with skills;move blade have extra;余;7;;
37;diffT;4663;;1;;游刃有雨;you2 ren4 you3 yu4;;;move blade have rain;雨;8;-1.0;
37;sameT;4663;;1;;游刃有鱼;you2 ren4 you3 yu2;;;move blade have fish;鱼;8;-1.0;
37;noP;4663;;1;;游刃有邸;you2 ren4 you3 di3;;;move blade have residence;邸;7;0.0;0.6036444008350372
38;corr;4652;4.294;769;0.852;独树一帜;du2 shu4 yi1 zhi4;dú shù yī zhì;stand out;only stand one flag;帜;8;;
38;diffT;4652;;769;;独树一直;du2 shu4 yi1 zhi2;;;only stand one straighten;直;8;0.0;
38;sameT;4652;;769;;独树一质;du2 shu4 yi1 zhi4;;;only stand one question;质;8;0.0;
38;noP;4652;;769;;独树一终;du2 shu4 yi1 zhong1;;;only stand one end;终;8;0.0;0.5513329207897186
39;corr;4324;3.765;1;0.852;琳琅满目;lin2 lang2 man3 mu4;lín láng mǎn mù;beautiful things to see;beautiful jem full eye;目;5;;
39;diffT;4324;;1;;琳琅满母;lin2 lang2 man3 mu3;;;beautiful jem full mother;母;5;0.0;
39;sameT;4324;;1;;琳琅满木;lin2 lang2 man3 mu4;;;beautiful jem full tree;木;4;1.0;
39;noP;4324;;1;;琳琅满汁;lin2 lang2 man3 zhi1;;;beautiful jem full juice;汁;5;0.0;0.7281740605831146
40;corr;4828;4.521;1;0.556;甜言蜜语;tian2 yan2 mi4 yu3;tián yán mì yǔ;to use flattering words;sweet words honey speech;语;9;;
40;diffT;4828;;1;;甜言蜜鱼;tian2 yan2 mi4 yu2;;;sweet words honey fish;鱼;8;1.0;
40;sameT;4828;;1;;甜言蜜俣;tian2 yan2 mi4 yu3;;;sweet words honey big;俣;9;0.0;
40;noP;4828;;1;;甜言蜜姚;tian2 yan2 mi4 yao3;;;sweet words honey handsome;姚;9;0.0;0.5537354052066803
41;corr;4782;4.322;1;0.778;精打细算;jing1 da3 xi4 suan4;jīng dǎ xì suàn;to plan in detail;refined do subtle count;算;14;;
41;diffT;4782;;1;;精打细酸;jing1 da3 xi4 suan1;;;refined do subtle sour;酸;14;0.0;
41;sameT;4782;;1;;精打细蒜;jing1 da3 xi4 suan4;;;refined do subtle garlic;蒜;13;1.0;
41;noP;4782;;1;;精打细疑;jing1 da3 xi4 yi2;;;refined do subtle doubt;疑;14;0.0;0.7100071310997009
42;corr;4382;3.608;1;0.815;耐人寻味;nai4 ren2 xun2 wei4;nài rén xún wèi;to spark the imagination;resist people search taste;味;8;;
42;diffT;4382;;1;;耐人寻违;nai4 ren2 xun2 wei2;;;resist people search disobey;违;7;1.0;
42;sameT;4382;;1;;耐人寻畏;nai4 ren2 xun2 wei4;;;resist people search fear;畏;9;-1.0;
42;noP;4382;;1;;耐人寻诃;nai4 ren2 xun2 he1;;;resist people search scold;诃;8;0.0;0.746012419462204
43;corr;4632;4.431;1;0.778;自始至终;zi4 shi3 zhi4 zhong1;zì shǐ zhì zhōng;endless;from beginning to end;终;8;;
43;diffT;4632;;1;;自始至重;zi4 shi3 zhi4 zhong4;;;from beginning to heavy;重;9;-1.0;
43;sameT;4632;;1;;自始至衷;zi4 shi3 zhi4 zhong1;;;from beginning to innerfeelings;衷;10;-2.0;
43;noP;4632;;1;;自始至贤;zi4 shi3 zhi4 xian2;;;from beginning to worthy;贤;8;0.0;0.4592078924179077
44;corr;4691;4.216;1;0.852;自欺欺人;zi4 qi1 qi1 ren2;zì qī qī rén;to deceive;self deceive deceive person;人;2;;
44;diffT;4691;;1;;自欺欺刃;zi4 qi1 qi1 ren4;;;self deceive deceive edge_of_the_knife;刃;3;-1.0;
44;sameT;4691;;1;;自欺欺壬;zi4 qi1 qi1 ren2;;;self deceive deceive ninth;壬;4;-2.0;
44;noP;4691;;1;;自欺欺力;zi4 qi1 qi1 li4;;;self deceive deceive power;力;2;0.0;0.5525619387626648
45;corr;485;4.686;1;0.667;自言自语;zi4 yan2 zi4 yu3;zì yán zì yǔ;think out loud;self talk self speech;语;9;;
45;diffT;485;;1;;自言自鱼;zi4 yan2 zi4 yu2;;;self talk self fish;鱼;8;1.0;
45;sameT;485;;1;;自言自俣;zi4 yan2 zi4 yu3;;;self talk self big;俣;9;0.0;
45;noP;485;;1;;自言自胜;zi4 yan2 zi4 sheng4;;;self talk self splendor;胜;9;0.0;0.699114978313446
46;corr;4152;3.784;769;0.852;舞文弄墨;wu3 wen2 nong4 mo4;wǔ wén nòng mò;play with words;play writing manipulate ink;墨;15;;
46;diffT;4152;;769;;舞文弄模;wu3 wen2 nong4 mo2;;;play writing manipulate model;模;13;2.0;
46;sameT;4152;;769;;舞文弄磨;wu3 wen2 nong4 mo4;;;play writing manipulate grind;磨;16;-1.0;
46;noP;4152;;769;;舞文弄酸;wu3 wen2 nong4 suan1;;;play writing manipulate sour;酸;14;0.0;0.7069944143295288
47;corr;4667;4.561;1;0.889;若隐若现;ruo4 yin3 ruo4 xian4;ruò yǐn ruò xiàn;be vague;like hide like appear;现;8;;
47;diffT;4667;;1;;若隐若贤;ruo4 yin3 ruo4 xian2;;;like hide like worthy;贤;8;0.0;
47;sameT;4667;;1;;若隐若限;ruo4 yin3 ruo4 xian4;;;like hide like limit;限;8;0.0;
47;noP;4667;;1;;若隐若侈;ruo4 yin3 ruo4 chi3;;;like hide like extravagant;侈;8;0.0;0.727363109588623
48;corr;491;4.305;1;0.926;见义勇为;jian4 yi4 yong3 wei2;jiàn yì yǒng wéi;to be brave;see justice brave act;为;4;;
48;diffT;491;;1;;见义勇未;jian4 yi4 yong3 wei4;;;see justice brave not_yet;未;5;-1.0;
48;sameT;491;;1;;见义勇韦;jian4 yi4 yong3 wei2;;;see justice brave leather;韦;4;0.0;
48;noP;491;;1;;见义勇月;jian4 yi4 yong3 yue4;;;see justice brave moon;月;4;0.0;0.6565361022949219
49;corr;4632;4.439;867;0.704;谈天说地;tan2 tian1 shuo1 di4;tán tiān shuō dì;talk of everything;say sky say earth;地;6;;
49;diffT;4632;;867;;谈天说邸;tan2 tian1 shuo1 di3;;;say sky say residence;邸;7;-1.0;
49;sameT;4632;;867;;谈天说弟;tan2 tian1 shuo1 di4;;;say sky say little brother;弟;7;-1.0;
49;noP;4632;;867;;谈天说旨;tan2 tian1 shuo1 zhi3;;;say sky say purpose;旨;6;0.0;0.7892003059387207
50;corr;4739;4.784;1;0.852;赏心悦目;shang3 xin1 yue4 mu4;shǎng xīn yuè mù;nice to hear;appreciate heart return eye;目;5;;
50;diffT;4739;;1;;赏心悦母;shang3 xin1 yue4 mu3;;;appreciate heart return mother;母;5;0.0;
50;sameT;4739;;1;;赏心悦木;shang3 xin1 yue4 mu4;;;appreciate heart return tree;木;4;1.0;
50;noP;4739;;1;;赏心悦仪;shang3 xin1 yue4 yi2;;;appreciate heart return ceremony;仪;5;0.0;0.6642671823501587
51;corr;4621;4.109;1;0.704;铺天盖地;pu1 tian1 gai4 di4;pū tiān gài dì;spread everywhere;spread sky cover soil;地;6;;
51;diffT;4621;;1;;铺天盖籴;pu1 tian1 gai4 di3;;;spread sky cover buy grain;籴;8;-1.0;
51;sameT;4621;;1;;铺天盖帝;pu1 tian1 gai4 di4;;;spread sky cover emperor;帝;9;-3.0;
51;noP;4621;;1;;铺天盖夷;pu1 tian1 gai4 yi2;;;spread sky cover barbarians;夷;6;0.0;0.7515331655740738
52;corr;4674;3.059;769;0.741;风花雪月;feng1 hua1 xue3 yue4;fēng huā xuě yuè;romantic;wind flower snow moon;月;4;;
52;diffT;4674;;769;;风花雪曰;feng1 hua1 xue3 yue1;;;wind flower snow speak;曰;4;0.0;
52;sameT;4674;;769;;风花雪乐;feng1 hua1 xue3 yue4;;;wind flower snow music;乐;5;-1.0;
52;noP;4674;;769;;风花雪止;feng1 hua1 xue3 zhi3;;;wind flower snow stop;止;4;0.0;0.5455586910247803
53;corr;4475;3.957;1;0.926;风起云涌;feng1 qi3 yun2 yong3;fēng qǐ yún yǒng;largely spread phenomena;wind rise cloud emerge;涌;10;;
53;diffT;4475;;1;;风起云庸;feng1 qi3 yun2 yong1;;;wind rise cloud common;庸;11;-1.0;
53;sameT;4475;;1;;风起云勇;feng1 qi3 yun2 yong3;;;wind rise cloud brave;勇;9;1.0;
53;noP;4475;;1;;风起云莉;feng1 qi3 yun2 li4;;;wind rise cloud jasmine;莉;10;0.0;0.7305909693241119
54;corr;4735;4.647;1;0.852;齐心协力;qi2 xin1 xie2 li4;qí xīn xié lì;work together;together heart cooperate power;力;2;;
54;diffT;4735;;1;;齐心协礼;qi2 xin1 xie2 li3;;;together heart cooperate gift;礼;5;-3.0;
54;sameT;4735;;1;;齐心协立;qi2 xin1 xie2 li4;;;together heart cooperate stand;立;5;-3.0;
54;noP;4735;;1;;齐心协人;qi2 xin1 xie2 ren2;;;together heart cooperate person;人;2;0.0;0.5525619387626648
