Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff
16;sameT;4.706;NA;1;NA;安居乐叶;an1 ju1 le4 ye4;NA;NA;peacefully live enjoy leaf;叶;5;0
16;noP;4.706;NA;1;NA;安居乐吉;an1 ju1 le4 ji2;NA;NA;peacefully live enjoy lucky;吉;6;1
17;corr;4.662;4.294;1;0.815;对症下药;dui4 zheng4 xia4 yao4;duì zhèng xià yào;To treat something;regarding disease give medicine;药;9;NA
17;diffT;4.662;NA;1;NA;对症下姚;dui4 zheng4 xia4 yao2;NA;NA;regarding disease give handsome;姚;9;0
17;sameT;4.662;NA;1;NA;对症下钥;dui4 zheng4 xia4 yao4;NA;NA;regarding disease give key;钥;9;0
17;noP;4.662;NA;1;NA;对症下语;dui4 zheng4 xia4 yu3;NA;NA;regarding disease give  speech;语;9;0
18;corr;4.734;4.525;1;0.667;应有尽有;ying1 you3 jin4 you3;yīng yǒu jìn yǒu;Everything at its place;should exist everything exist;有;6;NA
18;diffT;4.734;NA;1;NA;应有尽优;ying1 you3 jin4 you1;NA;NA;should exist everything excellent;优;6;0
18;sameT;4.734;NA;1;NA;应有尽卣;ying1 you3 jin4 you3;NA;NA;should exist everything winecontainer;卣;7;1
18;noP;4.734;NA;1;NA;应有尽收;ying1 you3 jin4 shou1;NA;NA;should exist everything receive;收;6;0
19;corr;4.742;4.72;1;0.741;弄虚作假;nong4 xu1 zuo4 jia3;nòng xū zuò jiǎ;Lie;do fake create mischievous;假;11;NA
19;diffT;4.742;NA;1;NA;弄虚作颊;nong4 xu1 zuo4 jia2;NA;NA;do fake create cheeks;颊;12;1
19;sameT;4.742;NA;1;NA;弄虚作胛;nong4 xu1 zuo4 jia3;NA;NA;do fake create shoulder_blade;胛;9;-2
19;noP;4.742;NA;1;NA;弄虚作缘;nong4 xu1 zuo4 yuan2;NA;NA;do fake create fate;缘;12;1
20;corr;4.449;3.559;1;0.889;引人入胜;yin3 ren2 ru4 sheng4;yǐn rén rù shèng;Mesmerize people with beauty;lure person enter splendor;胜;9;NA
20;diffT;4.449;NA;1;NA;引人入绳;yin3 ren2 ru4 sheng2;NA;NA;lure person enter rope/string;绳;11;2
