Item;Condition;Familiarity;Compositionality;Predictability;Register;Spelling;Pin_yin;Ur_Pinyin;Fig_Transl;Lit_Transl;Last_char;Strokes;StrokeDiff;Frequency;Frequency_Percentage;Sem_Distance;Levenshtein_Distance;Relative_Frequency
14;noP;4.598;NA;1;NA;天涯海重;tian1 ya2 hai3 zhong4;NA;NA;sky edge sea heavy;重;9;2;282843;0.146169%;0.664413660764694;1;0.001461690578435
15;corr;4.391;3.922;1;0.852;如火如荼;ru2 huo3 ru2 tu2;rú huǒ rú tú;Full expansion;like fire like grass;荼;10;NA;616;0.000318%;NA;0;0.00000318339643
15;diffT;4.391;NA;1;NA;如火如兔;ru2 huo3 ru2 tu4;NA;NA;like fire like rabbit;兔;8;-2;4418;0.002283%;0.657609552145004;0.833333333333333;0.000022831567249
15;sameT;4.391;NA;1;NA;如火如徒;ru2 huo3 ru2 tu2;NA;NA;like fire like apprentice;徒;10;0;27812;0.014373%;0.57129693031311;0.571428571428571;0.000143728281653
15;noP;4.391;NA;1;NA;如火如诃;ru2 huo3 ru2 he1;NA;NA;like fire like scold;诃;8;-2;814;0.000421%;0.428925037384033;0.714285714285714;0.000004206630996
16;corr;4.706;4.412;1;0.704;安居乐业;an1 ju1 le4 ye4;ān jū lè yè;To live peacefully;peacefully live enjoy work;业;5;NA;296169;0.153056%;NA;0;0.001530557365481
16;diffT;4.706;NA;1;NA;安居乐爷;an1 ju1 le4 ye2;NA;NA;peacefully live enjoy grandpa;爷;6;1;30930;0.015984%;0.726585477590561;0.8;0.000159841642151
16;sameT;4.706;NA;1;NA;安居乐叶;an1 ju1 le4 ye4;NA;NA;peacefully live enjoy leaf;叶;5;0;36032;0.018621%;0.742207795381546;1;0.000186208019722
16;noP;4.706;NA;1;NA;安居乐吉;an1 ju1 le4 ji2;NA;NA;peacefully live enjoy lucky;吉;6;1;40081;0.020713%;0.578791707754135;0.5;0.000207132649824
17;corr;4.662;4.294;1;0.815;对症下药;dui4 zheng4 xia4 yao4;duì zhèng xià yào;To treat something;regarding disease give medicine;药;9;NA;59090;0.030537%;NA;0;0.000305368336072
17;diffT;4.662;NA;1;NA;对症下姚;dui4 zheng4 xia4 yao2;NA;NA;regarding disease give handsome;姚;9;0;4806;0.002484%;0.715784281492233;0.8;0.000024836693572
17;sameT;4.662;NA;1;NA;对症下钥;dui4 zheng4 xia4 yao4;NA;NA;regarding disease give key;钥;9;0;3772;0.001949%;0.742361754179001;0.8;0.000019493135279
17;noP;4.662;NA;1;NA;对症下语;dui4 zheng4 xia4 yu3;NA;NA;regarding disease give  speech;语;9;0;82805;0.042792%;0.718818664550781;0.857142857142857;0.000427923930758
18;corr;4.734;4.525;1;0.667;应有尽有;ying1 you3 jin4 you3;yīng yǒu jìn yǒu;Everything at its place;should exist everything exist;有;6;NA;1782004;0.920913%;NA;0;0.009209131771104
18;diffT;4.734;NA;1;NA;应有尽优;ying1 you3 jin4 you1;NA;NA;should exist everything excellent;优;6;0;46613;0.024089%;0.690865516662598;1;0.000240889054821
18;sameT;4.734;NA;1;NA;应有尽卣;ying1 you3 jin4 you3;NA;NA;should exist everything winecontainer;卣;7;1;118;0.000061%;0.758187279105186;1;0.000000609806459
18;noP;4.734;NA;1;NA;应有尽收;ying1 you3 jin4 shou1;NA;NA;should exist everything receive;收;6;0;120897;0.062478%;0.624532520771027;1;0.000624777724254
19;corr;4.742;4.72;1;0.741;弄虚作假;nong4 xu1 zuo4 jia3;nòng xū zuò jiǎ;Lie;do fake create mischievous;假;11;NA;62691;0.032398%;NA;0;0.000323977768772
