"Item","Condition","Familiarity","Compositionality","Predictability","Register","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff","Frequency","Frequency_Percentage","Sem_Distance","Levenshtein_Distance","logFrequency","Group","List","correct_response"
23,"diffT",4.615,NA,1,NA,"心旷神异","xin1 kuang4 shen2 yi4",NA,NA,"heart free spirit different","异",6,-2,52735,"0.027253%",0.621519446372986,0.8,10.8730346507107,"G3","L3","false"
23,"sameT",4.615,NA,1,NA,"心旷神夷","xin1 kuang4 shen2 yi2",NA,NA,"heart free spirit barbarians","夷",6,-2,4638,"0.002397%",0.626404762268066,1,8.44203851781548,"G3","L1","false"
24,"corr",4.828,4.492,1,0.519,"心满意足","xin1 man3 yi4 zu2","xīn mǎn yì zú","Happy in the heart","heart full desire enough","足",7,NA,77385,"0.039991%",NA,0,11.2565482423469,"G3","L2","true"
24,"diffT",4.828,NA,1,NA,"心满意诅","xin1 man3 yi4 zu3",NA,NA,"heart full desire curse","诅",7,0,1535,"0.000793%",0.737674802541733,1,7.3362856600213,"G3","L3","false"
24,"sameT",4.828,NA,1,NA,"心满意卒","xin1 man3 yi4 zu2",NA,NA,"heart full desire soldier","卒",8,1,3306,"0.001708%",0.634344041347504,0.833333333333333,8.10349427838097,"G3","L1","false"
25,"corr",4.753,4.671,1,0.63,"心甘情愿","xin1 gan1 qing2 yuan4","xīn gān qíng yuàn","Do something with passion","heart sweet emotion will","愿",14,NA,67915,"0.035097%",NA,0,11.1260122022566,"G2","L3","true"
25,"diffT",4.753,NA,1,NA,"心甘情缘","xin1 gan1 qing2 yuan2",NA,NA,"heart sweet emotion fate","缘",12,-2,19330,"0.009989%",0.530716270208359,1,9.86941357220238,"G2","L1","false"
25,"sameT",4.753,NA,1,NA,"心甘情媛","xin1 gan1 qing2 yuan4",NA,NA,"heart sweet emotion beautiful_woman","媛",12,-2,535,"0.000276%",0.71532329916954,0.866666666666667,6.28226674689601,"G2","L2","false"
26,"corr",4.813,4.6,1,0.889,"志同道合","zhi4 tong2 dao4 he2","zhì tóng dào hé","To have the same principles","will same road align","合",6,NA,239277,"0.123655%",NA,0,12.3853771556124,"G2","L3","true"
26,"diffT",4.813,NA,1,NA,"志同道吓","zhi4 tong2 dao4 he4",NA,NA,"will same road scare","吓",6,0,14620,"0.007555%",0.787495136260986,0.6,9.59014573330377,"G2","L1","false"
26,"sameT",4.813,NA,1,NA,"志同道何","zhi4 tong2 dao4 he2",NA,NA,"will same road carry","何",7,1,184335,"0.095262%",0.647450953722,0.5,12.1245100333868,"G2","L2","false"
27,"corr",4.679,3.847,1,0.741,"情有独钟","qing2 you3 du2 zhong1","qíng yǒu dú zhōng","Attraction","love have only concentrate","钟",9,NA,36770,"0.019002%",NA,0,10.5124375742953,"G2","L3","true"
27,"diffT",4.679,NA,1,NA,"情有独重","qing2 you3 du2 zhong4",NA,NA,"love have only heavy","重",9,0,282843,"0.146169%",0.592411518096924,1,12.5526472523654,"G2","L1","false"
