Item,Condition,Familiarity,Compositionality,Predictability,Register,Spelling,Pin_yin,Ur_Pinyin,Fig_Transl,Lit_Transl,Last_char,Strokes,StrokeDiff,Sem_Distance,Levenshtein_Distance,字符频率,字符百分比
39,corr,4324,3.765,1,0.852,琳琅满目,lin2 lang2 man3 mu4,lín láng mǎn mù,beautiful things to see,beautiful jem full eye,目,5,,,0.0,180827,0.093449%
39,diffT,4324,,1,,琳琅满母,lin2 lang2 man3 mu3,,,beautiful jem full mother,母,5,0.0,0.732971429824829,1.0,71462,0.036930%
39,sameT,4324,,1,,琳琅满木,lin2 lang2 man3 mu4,,,beautiful jem full tree,木,4,1.0,0.772993445396423,1.0,54433,0.028130%
39,noP,4324,,1,,琳琅满汁,lin2 lang2 man3 zhi1,,,beautiful jem full juice,汁,5,0.0,0.7281740605831146,1.0,3564,0.001842%
40,corr,4828,4.521,1,0.556,甜言蜜语,tian2 yan2 mi4 yu3,tián yán mì yǔ,to use flattering words,sweet words honey speech,语,9,,,0.0,82805,0.042792%
40,diffT,4828,,1,,甜言蜜鱼,tian2 yan2 mi4 yu2,,,sweet words honey fish,鱼,8,1.0,0.699845671653748,0.8181818181818182,40452,0.020905%
40,sameT,4828,,1,,甜言蜜俣,tian2 yan2 mi4 yu3,,,sweet words honey big,俣,9,0.0,0.692597031593323,0.5,197,0.000102%
40,noP,4828,,1,,甜言蜜姚,tian2 yan2 mi4 yao3,,,sweet words honey handsome,姚,9,0.0,0.5537354052066803,0.8,4806,0.002484%
41,corr,4782,4.322,1,0.778,精打细算,jing1 da3 xi4 suan4,jīng dǎ xì suàn,to plan in detail,refined do subtle count,算,14,,,0.0,105293,0.054414%
41,diffT,4782,,1,,精打细酸,jing1 da3 xi4 suan1,,,refined do subtle sour,酸,14,0.0,0.706910967826843,1.0,14855,0.007677%
41,sameT,4782,,1,,精打细蒜,jing1 da3 xi4 suan4,,,refined do subtle garlic,蒜,13,1.0,0.535614371299744,0.8333333333333334,1091,0.000564%
41,noP,4782,,1,,精打细疑,jing1 da3 xi4 yi2,,,refined do subtle doubt,疑,14,0.0,0.7100071310997009,0.6,53982,0.027897%
42,corr,4382,3.608,1,0.815,耐人寻味,nai4 ren2 xun2 wei4,nài rén xún wèi,to spark the imagination,resist people search taste,味,8,,,0.0,40704,0.021035%
42,diffT,4382,,1,,耐人寻违,nai4 ren2 xun2 wei2,,,resist people search disobey,违,7,1.0,0.589670658111572,1.0,22751,0.011757%
42,sameT,4382,,1,,耐人寻畏,nai4 ren2 xun2 wei4,,,resist people search fear,畏,9,-1.0,0.602126955986023,1.0,6722,0.003474%
42,noP,4382,,1,,耐人寻诃,nai4 ren2 xun2 he1,,,resist people search scold,诃,8,0.0,0.746012419462204,0.6,814,0.000421%
43,corr,4632,4.431,1,0.778,自始至终,zi4 shi3 zhi4 zhong1,zì shǐ zhì zhōng,endless,from beginning to end,终,8,,,0.0,72533,0.037484%
43,diffT,4632,,1,,自始至重,zi4 shi3 zhi4 zhong4,,,from beginning to heavy,重,9,-1.0,0.57694149017334,1.0,282843,0.146169%
43,sameT,4632,,1,,自始至衷,zi4 shi3 zhi4 zhong1,,,from beginning to innerfeelings,衷,10,-2.0,0.763003587722778,0.7333333333333333,5781,0.002988%
