"Item","Condition","Familiarity","Compositionality","Predictability","Register","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff","Visual_Distance_SVG","Sem_Distance","JunDa_Occurences","Levhenstein_Distance","Frequency","logf","Group","List","correct_response"
"40","diffT","4.828",NA,"1",NA,"甜言蜜鱼","tian2 yan2 mi4 yu2",NA,NA,"sweet words honey fish","鱼","8","1","62.03","0.699845671653748","40452","0.818181818181818","0.000209049922673957","-8.47293747005434","G2","L1","false"
"40","sameT","4.828",NA,"1",NA,"甜言蜜俣","tian2 yan2 mi4 yu3",NA,NA,"sweet words honey big","俣","9","0","53.43","0.692597031593323","197","0.5","1.0180667152865e-06","-13.7976051063384","G2","L3","false"
"41","corr","4.782","4.322","1","0.778","精打细算","jing1 da3 xi4 suan4","jīng dǎ xì suàn","to plan in detail","refined do subtle count","算","14",NA,NA,NA,"105293","0","0.000544138571840922","-7.51630661589716","G2","L2","true"
"41","diffT","4.782",NA,"1",NA,"精打细酸","jing1 da3 xi4 suan1",NA,NA,"refined do subtle sour","酸","14","0","64.64","0.712796568870544","14855","1","7.67684317542181e-05","-9.4747170471797","G2","L1","false"
"41","sameT","4.782",NA,"1",NA,"精打细蒜","jing1 da3 xi4 suan4",NA,NA,"refined do subtle garlic","蒜","13","1","52.24","0.703918933868408","1091","0.833333333333333","5.6381258191755e-06","-12.0859588492433","G2","L3","false"
"42","corr","4.382","3.608","1","0.815","耐人寻味","nai4 ren2 xun2 wei4","nài rén xún wèi","to spark the imagination","resist people search taste","味","8",NA,NA,NA,"40704","0","0.000210352221213308","-8.46672718837661","G2","L2","true"
"42","diffT","4.382",NA,"1",NA,"耐人寻违","nai4 ren2 xun2 wei2",NA,NA,"resist people search disobey","违","7","1","60.74","0.673227787017822","22751","1","0.000117573785987224","-9.04844445561939","G2","L1","false"
"42","sameT","4.382",NA,"1",NA,"耐人寻畏","nai4 ren2 xun2 wei4",NA,NA,"resist people search fear","畏","9","-1","76.46","0.626778244972229","6722","1","3.47382967520602e-05","-10.2676678267914","G2","L3","false"
"43","corr","4.632","4.431","1","0.778","自始至终","zi4 shi3 zhi4 zhong1","zì shǐ zhì zhōng","endless","from beginning to end","终","8",NA,NA,NA,"72533","0","0.000374839761725258","-7.88901192537939","G3","L3","true"
"43","diffT","4.632",NA,"1",NA,"自始至重","zi4 shi3 zhi4 zhong4",NA,NA,"from beginning to heavy","重","9","-1","69.4","0.56704044342041","282843","1","0.00146169057843543","-6.52816158271104","G3","L2","false"
