"Item","Condition","Predictability","Spelling","Pin_yin","Ur_Pinyin","Fig_Transl","Lit_Transl","Last_char","Strokes","StrokeDiff"
50,"sameT",NA,"情有独衷","qing2 you3 du2 zhong1",NA,NA,"love have only innerfeelings","衷",10,-1
51,"corr",1,"惊天动地","jing1 tian1 dong4 di4","jīng tiān dòng dì","Huge impact","shock sky move ground","地",6,NA
51,"diffT",NA,"惊天动邸","jing1 tian1 dong4 di3",NA,NA,"shock sky move residence","邸",7,-1
51,"sameT",NA,"惊天动弟","jing1 tian1 dong4 di4",NA,NA,"shock sky move littlebrother","弟",7,-1
52,"corr",0.923,"惊心动魄","jing1 xin1 dong4 po4","jīng xīn dòng pò","Heart-wrenching","shock heart move spirit","魄",14,NA
52,"diffT",NA,"惊心动溌","jing1 xin1 dong4 po1",NA,NA,"shock heart move splash","溌",12,2
52,"sameT",NA,"惊心动蒪","jing1 xin1 dong4 po4",NA,NA,"shock heart move ginger","蒪",13,1
53,"corr",0.818,"愈演愈烈","yu4 yan3 yu4 lie4","yù yǎn yù liè","Worsening situation","more develop more violent","烈",10,NA
53,"diffT",NA,"愈演愈䟩","yu4 yan3 yu4 lie3",NA,NA,"more develop more struggle walk","䟩",12,-2
53,"sameT",NA,"愈演愈捩","yu4 yan3 yu4 lie4",NA,NA,"more develop more twist","捩",11,-1
55,"corr",1,"我行我素","wo3 xing2 wo3 su4","wǒ xíng wǒ sù","Not care about people's opinions","me walk me essence","素",10,NA
55,"diffT",NA,"我行我俗","wo3 xing2 wo3 su2",NA,NA,"me walk me popular","俗",9,1
55,"sameT",NA,"我行我速","wo3 xing2 wo3 su4",NA,NA,"me walk me fast","速",10,0
56,"corr",1,"扑朔迷离","pu1 shuo4 mi2 li2","pū shuò mí lí","not able to tell with certainty","jump male uncertain distinguish","离",10,NA
56,"diffT",NA,"扑朔迷莉","pu1 shuo4 mi2 li4",NA,NA,"jump male uncertain jasmine","莉",10,0
56,"sameT",NA,"扑朔迷梨","pu1 shuo4 mi2 li2",NA,NA,"jump male uncertain pear","梨",11,-1
57,"corr",0.833,"排忧解难","pai2 you1 jie3 nan2","pái yōu jiě nán","Cast away worries","delete worry explain problem","难",10,NA
57,"diffT",NA,"排忧解𦛚","pai2 you1 jie3 nan4",NA,NA,"delete worry explain oily","𦛚",11,-1
57,"sameT",NA,"排忧解南","pai2 you1 jie3 nan2",NA,NA,"delete worry explain south","南",9,1
58,"corr",0.929,"推陈出新","tui1 chen2 chu1 xin1","tuī chén chū xīn","Reinnovate","push old lift new","新",13,NA
58,"diffT",NA,"推陈出焮","tui1 chen2 chu1 xin4",NA,NA,"push old lift heat","焮",12,1
58,"sameT",NA,"推陈出歆","tui1 chen2 chu1 xin1",NA,NA,"push old lift pleased","歆",13,0
59,"corr",0.909,"日新月异","ri4 xin1 yue4 yi4","rì xīn yuè yì","change day after day","sun new moon different","异",6,NA
59,"diffT",NA,"日新月仪","ri4 xin1 yue4 yi2",NA,NA,"sun new moon ceremony","仪",5,1
59,"sameT",NA,"日新月亦","ri4 xin1 yue4 yi4",NA,NA,"sun new moon also","亦",6,0
61,"corr",0.538,"有的放矢","you3 de5 fang4 shi3","yǒu de fàng shǐ","to have a precise goal","have target throw arrow","矢",5,NA
61,"diffT",NA,"有的放石","you3 de5 fang4 shi2",NA,NA,"have target throw rock","石",5,0
61,"sameT",NA,"有的放史","you3 de5 fang4 shi3",NA,NA,"have target throw history","史",5,0
62,"corr",0.75,"标本兼治","biao1 ben3 jian1 zhi4","biāo běn jiān zhì","deal with multiple problems","surface root together treat","治",8,NA
62,"diffT",NA,"标本兼直","biao1 ben3 jian1 zhi2",NA,NA,"surface root together straighten","直",8,0
